date,price
12/22/2015,437.44
12/23/2015,436.72
12/24/2015,443.09
12/25/2015,454.86
12/26/2015,455.76
12/27/2015,416.51
12/28/2015,423.34
12/29/2015,422.1
12/30/2015,433.3
12/31/2015,425.88
1/1/2016,430.72
1/2/2016,434.62
1/3/2016,433.58
1/4/2016,430.06
1/5/2016,433.07
1/6/2016,431.86
1/7/2016,430.01
1/8/2016,457.54
1/9/2016,453.38
1/10/2016,448.24
1/11/2016,448.7
1/12/2016,448.18
1/13/2016,434.67
1/14/2016,432.29
1/15/2016,430.25
1/16/2016,365.07
1/17/2016,387.15
1/18/2016,381.73
1/19/2016,387.03
1/20/2016,379.74
1/21/2016,419.63
1/22/2016,409.75
1/23/2016,382.43
1/24/2016,388.1
1/25/2016,402.32
1/26/2016,392
1/27/2016,392.44
1/28/2016,395.15
1/29/2016,380.11
1/30/2016,378.87
1/31/2016,378.29
2/1/2016,369.35
2/2/2016,372.92
2/3/2016,374.65
2/4/2016,370.17
2/5/2016,388.9
2/6/2016,386.59
2/7/2016,376.51
2/8/2016,376.76
2/9/2016,373.42
2/10/2016,376.15
2/11/2016,382.11
2/12/2016,379.69
2/13/2016,384.64
2/14/2016,392.93
2/15/2016,407.57
2/16/2016,401.43
2/17/2016,407.66
2/18/2016,416.57
2/19/2016,422.73
2/20/2016,421.6
2/21/2016,437.77
2/22/2016,438.99
2/23/2016,438.25
2/24/2016,420.96
2/25/2016,425.04
2/26/2016,424.63
2/27/2016,432.84
2/28/2016,432.57
2/29/2016,433.44
3/1/2016,437.92
3/2/2016,435.13
3/3/2016,423.91
3/4/2016,421.84
3/5/2016,410.78
3/6/2016,400.52
3/7/2016,407.76
3/8/2016,414.46
3/9/2016,413.89
3/10/2016,414.74
3/11/2016,417.24
3/12/2016,421.61
3/13/2016,411.65
3/14/2016,414.2
3/15/2016,416.39
3/16/2016,416.89
3/17/2016,417.89
3/18/2016,420.55
3/19/2016,409.26
3/20/2016,410.4
3/21/2016,413.42
3/22/2016,413.13
3/23/2016,418.16
3/24/2016,418.42
3/25/2016,416.51
3/26/2016,417.37
3/27/2016,418.14
3/28/2016,426.55
3/29/2016,424.3
3/30/2016,416.83
3/31/2016,415.26
4/1/2016,416.76
4/2/2016,418.42
4/3/2016,421.17
4/4/2016,421.3
4/5/2016,421.02
4/6/2016,424.28
4/7/2016,423.62
4/8/2016,422.91
4/9/2016,420.81
4/10/2016,419.59
4/11/2016,421.87
4/12/2016,422.84
4/13/2016,425.63
4/14/2016,423.94
4/15/2016,424.43
4/16/2016,429.57
4/17/2016,430.64
4/18/2016,427.61
4/19/2016,428.7
4/20/2016,435.32
4/21/2016,441.42
4/22/2016,449.69
4/23/2016,445.86
4/24/2016,450.56
4/25/2016,459.12
4/26/2016,461.65
4/27/2016,466.26
4/28/2016,445.04
4/29/2016,449.41
4/30/2016,455.18
5/1/2016,448.48
5/2/2016,451.93
5/3/2016,444.73
5/4/2016,450.18
5/5/2016,446.71
5/6/2016,447.94
5/7/2016,459.64
5/8/2016,458.43
5/9/2016,458.21
5/10/2016,460.52
5/11/2016,450.86
5/12/2016,452.45
5/13/2016,454.85
5/14/2016,455.82
5/15/2016,455.76
5/16/2016,457.59
5/17/2016,454.01
5/18/2016,453.69
5/19/2016,454.52
5/20/2016,437.79
5/21/2016,442.97
5/22/2016,443.22
5/23/2016,439.35
5/24/2016,444.29
5/25/2016,446.06
5/26/2016,449.67
5/27/2016,453.52
5/28/2016,473.03
5/29/2016,527.48
5/30/2016,528.47
5/31/2016,534.19
6/1/2016,531.11
6/2/2016,536.51
6/3/2016,537.68
6/4/2016,569.71
6/5/2016,573.31
6/6/2016,574.6
6/7/2016,585.45
6/8/2016,577.17
6/9/2016,582.2
6/10/2016,575.84
6/11/2016,578.67
6/12/2016,609.68
6/13/2016,671.65
6/14/2016,704.5
6/15/2016,685.68
6/16/2016,696.52
6/17/2016,768.49
